protein,alpha,segment_metric,faithfulness,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy_norm,anchor_mass_rel_drop,segment_gap_drop_frac,meets_threshold,alpha_star,selected_alpha_star,selected_by_threshold
2B61A,0.0,0.5737944841384888,1.0,0.31456616520881653,0.2805817723274231,0.7682202212552621,0.0,0.0,False,0.25,False,True
2B61A,0.25,0.331472247838974,0.556138757211543,0.16645598411560059,0.15016578137874603,0.8826035309458276,0.47083951636978144,0.44386124278845696,True,0.25,True,True
2B61A,0.5,0.1311095654964447,0.18913476058673162,0.07909248769283295,0.07209039479494095,0.9394286610138957,0.7485664497949757,0.8108652394132684,True,0.25,False,True
2B61A,0.75,0.020911602303385735,-0.012714667854374799,0.03553839772939682,0.032685764133930206,0.9615530849605084,0.8870240933070295,1.0127146678543748,True,0.25,False,True
2B61A,1.0,0.01108022965490818,-0.030722777009805323,0.015594864264130592,0.022001352161169052,0.9686288489882798,0.9504242159871887,1.0307227770098053,True,0.25,False,True
2B61A,2.0,0.008394204080104828,-0.03564276564972604,0.0006613013683818281,0.02272401936352253,0.9700940566482614,0.9978977352254562,1.035642765649726,True,0.25,False,True
2B61A,4.0,0.008230248466134071,-0.03594308287892681,3.110397301497869e-06,0.023399945348501205,0.9694872028254414,0.9999901121047159,1.035943082878927,True,0.25,False,True
2B61A,6.0,0.012660235166549683,-0.02782868350555512,2.288494549418374e-08,0.02416292577981949,0.9691638297454152,0.9999999272491831,1.027828683505555,True,0.25,False,True
2B61A,8.0,0.008188281208276749,-0.03601995423631207,1.8719580052728446e-10,0.024888478219509125,0.9688578399184846,0.999999999404908,1.036019954236312,True,0.25,False,True
1PVGA,0.0,0.5921301245689392,1.0,0.3109543025493622,0.2676989436149597,0.7805952479335317,0.0,0.0,False,0.25,False,True
1PVGA,0.25,0.3416675627231598,0.5253567179101569,0.15998364984989166,0.13847142457962036,0.8862899195989964,0.48550752140020575,0.4746432820898431,True,0.25,True,True
1PVGA,0.5,0.24836453795433044,0.3485412546376233,0.071548692882061,0.0619061253964901,0.9362120592549986,0.7699060849280158,0.6514587453623767,True,0.25,False,True
1PVGA,0.75,0.2674267292022705,0.3846653801399315,0.030030660331249237,0.025897543877363205,0.9533727793597833,0.9034242006460674,0.6153346198600685,True,0.25,False,True
1PVGA,1.0,0.29492881894111633,0.4367836769495477,0.012440226040780544,0.017994636669754982,0.9578801750261434,0.9599933947245971,0.5632163230504523,True,0.25,False,True
1PVGA,2.0,0.33661314845085144,0.5157782653000323,0.00042476438102312386,0.018229974433779716,0.9579533377880896,0.998633997415245,0.4842217346999676,True,0.25,False,True
1PVGA,4.0,0.32181182503700256,0.4877287689096366,1.0147161901841173e-06,0.018222076818346977,0.957553461674519,0.9999967367674868,0.5122712310903634,True,0.25,False,True
1PVGA,6.0,0.38620972633361816,0.6097670927448141,3.6476479614577784e-09,0.018190929666161537,0.9574168838838801,0.9999999882695048,0.39023290725518595,True,0.25,False,True
1PVGA,8.0,0.01109351683408022,-0.10110317676713275,1.4951106325211683e-11,0.018153052777051926,0.9573178732000489,0.9999999999519187,1.1011031767671327,True,0.25,False,True
