rank,layer,head,n_cells,total_attr,k_anchor,k_label,q_anchor,q_label,pos_type,region
23,0,13,4,0.004416,SINGLE-ANCHOR,L266,MULTI-ANCHOR,,,INTRA:flkR
10,0,19,39,0.121599,DISTRIBUTED,,DUAL-ANCHOR,L266/Y25,,
17,1,8,22,0.058335,DISTRIBUTED,,DISTRIBUTED,,POSITIONAL,INTRA:flkR
26,3,14,9,0.022414,SINGLE-ANCHOR,T262,DISTRIBUTED,L266/L269/Y270/F261,,
14,3,19,8,0.053265,DISTRIBUTED,T262/Y240/P256,MULTI-ANCHOR,,,
12,4,17,12,0.092617,DISTRIBUTED,L266/I252/F261,DUAL-ANCHOR,G249/L227,,ss2→flkR
6,5,9,8,0.159721,SINGLE-ANCHOR,G249,SINGLE-ANCHOR,A243,,INTRA:flkR
1,6,13,10,0.402171,SINGLE-ANCHOR,A243,SINGLE-ANCHOR,L227,,
22,6,19,11,0.049480,SINGLE-ANCHOR,A243,SINGLE-ANCHOR,L227,,
7,7,0,47,1.163766,SINGLE-ANCHOR,L227,SINGLE-ANCHOR,C200,,
9,9,17,18,0.114190,DISTRIBUTED,G69/G71/K72/N68,SINGLE-ANCHOR,C200,,
19,13,3,22,0.096589,SINGLE-ANCHOR,L227,DISTRIBUTED,,,
24,13,7,10,0.047028,SINGLE-ANCHOR,C200,DISTRIBUTED,L227/S226/T225/I229,,
11,13,18,40,0.107349,DUAL-ANCHOR,L64/C200,DISTRIBUTED,,,
30,13,19,7,0.010383,DUAL-ANCHOR,L227/C200,DUAL-ANCHOR,?294/Y293,,
27,14,14,12,0.040732,SINGLE-ANCHOR,L227,DUAL-ANCHOR,L227/R232,,INTRA:ss2
29,15,8,8,0.026618,SINGLE-ANCHOR,L64,DISTRIBUTED,C200/L227/L64/H231,,CROSS:ss2→ss1
25,16,0,12,0.033914,SINGLE-ANCHOR,L227,DISTRIBUTED,S226/L227/Y228,POSITIONAL,INTRA:ss2
28,16,11,13,0.032248,SINGLE-ANCHOR,C200,DISTRIBUTED,K223/L227/T225/I229/P237,,
21,17,16,25,0.068041,DISTRIBUTED,,DUAL-ANCHOR,Y228/S226,,INTRA:ss2
20,20,15,12,0.058205,DUAL-ANCHOR,I229/Y228,MULTI-ANCHOR,,POSITIONAL,INTRA:ss2
3,26,16,30,0.101970,DISTRIBUTED,,DISTRIBUTED,,,
13,27,15,15,0.047347,DISTRIBUTED,L64/T225/L227/Y228,DISTRIBUTED,L227/E60/L64/T225,,CROSS:ss1→ss2
5,29,18,53,0.190676,DISTRIBUTED,,DISTRIBUTED,,,
16,30,0,11,0.036750,SINGLE-ANCHOR,T225,DISTRIBUTED,T58/E60/L227,,
18,30,1,10,0.027606,DISTRIBUTED,L64/K223/H61,DISTRIBUTED,I229/N59/Y228,,CROSS:ss2→ss1
15,30,13,16,0.040266,DISTRIBUTED,,DISTRIBUTED,Y228/H61/L227,,
8,31,17,26,0.067343,DISTRIBUTED,,DISTRIBUTED,,,
2,32,13,18,0.128474,DISTRIBUTED,,DISTRIBUTED,K223/L64/N59/Y228/L227,,CROSS:ss2→ss1
4,32,18,15,0.101528,DISTRIBUTED,T225/L64/T58/N68/N59,DISTRIBUTED,,,CROSS:ss1→ss2
