protein,n_res,metric,R_25,R_50,R_80,R_90
1CUKA,203,alpha,30,30,30,40
1CUKA,203,score,5,30,40,80
1CUKA,203,attn_mass,30,30,30,40
1F86A,115,alpha,20,20,20,30
1F86A,115,score,5,20,30,30
1F86A,115,attn_mass,20,20,20,20
1G3QA,237,alpha,30,30,30,40
1G3QA,237,score,5,40,80,80
1G3QA,237,attn_mass,30,40,60,80
1H4XA,117,alpha,30,30,30,30
1H4XA,117,score,5,30,30,40
1H4XA,117,attn_mass,30,30,30,30
1HDKA,141,alpha,20,20,20,30
1HDKA,141,score,5,20,30,30
1HDKA,141,attn_mass,20,20,30,30
1KMVA,186,alpha,30,30,30,30
1KMVA,186,score,5,30,40,60
1KMVA,186,attn_mass,30,30,30,60
1S3CA,141,alpha,40,60,60,60
1S3CA,141,score,5,5,full,full
1S3CA,141,attn_mass,60,60,60,60
1T2WA,145,alpha,30,30,40,40
1T2WA,145,score,5,40,40,60
1T2WA,145,attn_mass,30,30,40,40
1U2KA,309,alpha,60,60,60,60
1U2KA,309,score,5,60,120,120
1U2KA,309,attn_mass,60,60,60,60
2CZQA,205,alpha,30,40,40,40
2CZQA,205,score,5,40,40,40
2CZQA,205,attn_mass,40,40,40,40
2D2EA,250,alpha,40,40,40,60
2D2EA,250,score,5,60,120,full
2D2EA,250,attn_mass,40,40,80,80
2D59A,144,alpha,20,20,30,30
2D59A,144,score,20,30,30,60
2D59A,144,attn_mass,20,20,30,30
2D5MA,190,alpha,30,30,30,40
2D5MA,190,score,5,30,40,60
2D5MA,190,attn_mass,30,30,30,40
2DYIA,162,alpha,30,30,30,40
2DYIA,162,score,5,30,60,60
2DYIA,162,attn_mass,30,30,30,30
2GK4A,232,alpha,40,40,60,60
2GK4A,232,score,5,60,80,80
2GK4A,232,attn_mass,40,40,60,60
2II1A,301,alpha,60,60,60,60
2II1A,301,score,10,60,120,120
2II1A,301,attn_mass,60,60,60,60
2O2KA,355,alpha,5,full,full,full
2O2KA,355,score,5,full,full,full
2O2KA,355,attn_mass,full,full,full,full
2OZEA,298,alpha,40,40,60,60
2OZEA,298,score,5,60,60,120
2OZEA,298,attn_mass,40,60,60,120
2PJZA,263,alpha,40,40,60,80
2PJZA,263,score,40,60,80,120
2PJZA,263,attn_mass,40,40,120,120
2WAWA,199,alpha,40,40,40,60
2WAWA,199,score,5,40,60,60
2WAWA,199,attn_mass,40,40,40,60
2YC3A,228,alpha,30,30,40,40
2YC3A,228,score,5,40,80,80
2YC3A,228,attn_mass,30,40,60,80
3BZMA,431,alpha,5,80,120,full
3BZMA,431,score,5,80,full,full
3BZMA,431,attn_mass,80,120,full,full
3C8MA,331,alpha,60,60,60,60
3C8MA,331,score,60,60,80,120
3C8MA,331,attn_mass,60,60,80,80
3EYEA,168,alpha,60,60,60,60
3EYEA,168,score,5,60,60,60
3EYEA,168,attn_mass,60,60,60,60
3FF9A,115,alpha,5,20,20,30
3FF9A,115,score,5,5,20,40
3FF9A,115,attn_mass,20,20,20,40
3FZ4A,120,alpha,30,30,40,full
3FZ4A,120,score,5,30,full,full
3FZ4A,120,attn_mass,30,30,40,40
3G5TA,299,alpha,5,60,60,60
3G5TA,299,score,5,5,60,120
3G5TA,299,attn_mass,60,60,60,120
3GX8A,121,alpha,15,15,20,20
3GX8A,121,score,5,15,20,20
3GX8A,121,attn_mass,15,15,20,20
3JRNA,176,alpha,30,30,40,40
3JRNA,176,score,5,40,40,60
3JRNA,176,attn_mass,30,30,40,40
3L51A,161,alpha,30,30,30,60
3L51A,161,score,5,30,30,60
3L51A,161,attn_mass,30,30,30,30
3LWXA,199,alpha,40,40,60,80
3LWXA,199,score,5,40,60,80
3LWXA,199,attn_mass,40,40,40,40
3N08A,153,alpha,20,20,30,30
3N08A,153,score,5,30,40,40
3N08A,153,attn_mass,20,30,40,40
3NY7A,118,alpha,30,30,30,40
3NY7A,118,score,6,30,40,full
3NY7A,118,attn_mass,30,30,30,30
3PU9A,242,alpha,60,60,60,80
3PU9A,242,score,5,60,120,120
3PU9A,242,attn_mass,60,60,80,120
3R6DA,221,alpha,30,30,40,40
3R6DA,221,score,30,40,60,60
3R6DA,221,attn_mass,30,40,60,60
3RHBA,113,alpha,15,15,20,30
3RHBA,113,score,5,15,20,30
3RHBA,113,attn_mass,15,15,20,20
3ZSJA,138,alpha,30,30,30,30
3ZSJA,138,score,5,30,30,40
3ZSJA,138,attn_mass,30,30,30,30
4GS1A,395,alpha,120,120,full,full
4GS1A,395,score,5,120,full,full
4GS1A,395,attn_mass,120,120,full,full
4I8HA,223,alpha,5,30,40,40
4I8HA,223,score,5,5,40,60
4I8HA,223,attn_mass,30,30,40,40
4K8WA,129,alpha,30,30,30,30
